category,title,content
wisata,Geosite Sipinsur,"
Nama Tempat : Geosite Sipinsur

Kategori : Wisata Alam

Rating : 4,6

Alamat : Parulohan, Kec. Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara 22476

Jam Operasional : 07.00 - 23.00

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Wisata Rumah Pohon,"
Nama Tempat : Wisata Rumah Pohon

Kategori : Wisata Alam

Rating : 4,5

Alamat : 922G+H4F, Jl. Raya TaraBunga, Tara Bunga, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Air Terjun Situmurun,"
Nama Tempat : Air Terjun Situmurun

Kategori : Wisata Alam

Rating : 4,6

Alamat : Jonggi Nihuta, Hatinggian, Kec. Lumban Julu, Toba, Sumatera Utara 22386

Jam Operasional : 08.00 - 17.00

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Batu Basiha,"
Nama Tempat : Batu Basiha

Kategori : Wisata Alam

Rating : 4,5

Alamat : 825R+VFP, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Air Terjun Sigura-Gura,"
Nama Tempat : Air Terjun Sigura-Gura

Kategori : Wisata Alam

Rating : 4,4

Alamat : H833+VRV, Halado, Kec. Pintu Pohan Merant, Toba, Sumatera Utara 21274

Jam Operasional : 24 jam

Harga Tiket : 10.000 - 20.000

Status : beroperasi
"
wisata,Puncak Huta Ginjang,"
Nama Tempat : Puncak Huta Ginjang

Kategori : Wisata Alam

Rating : 4,7

Alamat : 8X7C+WCJ, Sitanggor, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Pantai Parparean 2,"
Nama Tempat : Pantai Parparean 2

Kategori : Wisata Alam

Rating : 4,5

Alamat : C4MX+F73, Jl. Lintas Sumatera, Patane V, Kec. Porsea, Toba, Sumatera Utara 22384

Jam Operasional : 08.00 - 18.00

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Boli Boli Hot Spring,"
Nama Tempat : Boli Boli Hot Spring

Kategori : Wisata Alam

Rating : 4,2

Alamat : Situmeang Hasundutan, Kec. Sipoholon, Kabupaten Tapanuli Utara, Sumatera Utara 22452

Jam Operasional : 24 jam

Harga Tiket : 70000

Status : beroperasi
"
wisata,Bukit Senyum,"
Nama Tempat : Bukit Senyum

Kategori : Wisata Alam

Rating : 4,7

Alamat : JWPC+8C4, Motung, Kec. Ajibata, Toba, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Bukit Tara Bunga,"
Nama Tempat : Bukit Tara Bunga

Kategori : Wisata Alam

Rating : 4,5

Alamat : 82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Panorama Adian Nalambok,"
Nama Tempat : Panorama Adian Nalambok

Kategori : Wisata Alam

Rating : 4.4

Alamat : 8247+X8, Jl. Lintas Sumatera No.126, Gurgur Aek Raja, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 08.00 - 21.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Arung Jeram Desa Parhitean,"
Nama Tempat : Arung Jeram Desa Parhitean

Kategori : Wisata Alam

Rating : 5

Alamat : H86V+CM, Jalan Lintas Sigura - Gura, Parhitean, North Meranti, Pintu Pohan Merant, Toba, North Sumatra 21274

Jam Operasional : 09.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Pantai Lumban Silintong,"
Nama Tempat : Pantai Lumban Silintong

Kategori : Wisata Alam

Rating : 5

Alamat : 83R2+F4, Lumban Silintong, Kec. Balige, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Pantai Pakkodian Tampahan,"
Nama Tempat : Pantai Pakkodian Tampahan

Kategori : Wisata Alam

Rating : 4.5

Alamat : 82Q7+R9, Danau Toba, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Wisata Alam Fishing-Camp Siarubung,"
Nama Tempat : Wisata Alam Fishing-Camp Siarubung

Kategori : Wisata Alam

Rating : 4.9

Alamat : HM76+88, Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : 10.000 - 50.000

Status : beroperasi
"
wisata,Air Terjun Binanga Bolon,"
Nama Tempat : Air Terjun Binanga Bolon

Kategori : Wisata Alam

Rating : 4.6

Alamat : RPWH+FG , Pua Dolok, Kec. Pua, Kabupaten Simalungun, Sumatera Utara 21165

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Air Terjun Sigarattung,"
Nama Tempat : Air Terjun Sigarattung

Kategori : Wisata Alam

Rating : 4.5

Alamat : JV67+2MF, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Batu Marhosa,"
Nama Tempat : Batu Marhosa

Kategori : Wisata Alam

Rating : 4.2

Alamat : JV39+M62, Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Danau Sidihoni,"
Nama Tempat : Danau Sidihoni

Kategori : Wisata Alam

Rating : 4.4

Alamat : Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Bukit Sidihoni,"
Nama Tempat : Bukit Sidihoni

Kategori : Wisata Alam

Rating : 4.6

Alamat : JP4X+3HP, Sidihoni atas, Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Cottage Aek Tawar Sari,"
Nama Tempat : Cottage Aek Tawar Sari

Kategori : Wisata Alam

Rating : 4.8

Alamat : HQQJ+8H Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Panorama Lembah Bakara,"
Nama Tempat : Panorama Lembah Bakara

Kategori : Wisata Alam

Rating : 5

Alamat : 8VR5+VP, Huta Lontung, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Bukit Simargulang Ombun,"
Nama Tempat : Bukit Simargulang Ombun

Kategori : Wisata Alam

Rating : 4.4

Alamat : GP4Q+GG6, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Bukit Sipatungan,"
Nama Tempat : Bukit Sipatungan

Kategori : Wisata Alam

Rating : 4.5

Alamat : CQGV+X8C, Sabulan, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Air Terjun Sitapigagan,"
Nama Tempat : Air Terjun Sitapigagan

Kategori : Wisata Alam

Rating : 4.5

Alamat : JJQ5+QR, Bonan Dolok, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396

Jam Operasional : 09.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Singgolom,"
Nama Tempat : Singgolom

Kategori : Wisata Alam

Rating : 4.8

Alamat : Jl. Singgolom Raya, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312 82V9+43

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Puncak Panorama Aek Nauli,"
Nama Tempat : Puncak Panorama Aek Nauli

Kategori : Wisata Alam

Rating : 4.6

Alamat : PW5J+F55, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Pusat Informasi Toba Caldera UNESCO Global Geopark,"
Nama Tempat : Pusat Informasi Toba Caldera UNESCO Global Geopark

Kategori : Wisata Alam

Rating : 4.6

Alamat : HJVM+CCF, Sigulatti, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396

Jam Operasional : 09.00 - 17.00

Harga Tiket : 10000

Status : beroperasi
"
wisata,Caldera toba nomadic escape (glamour camping),"
Nama Tempat : Caldera toba nomadic escape (glamour camping)

Kategori : Wisata Alam

Rating : 4.5

Alamat : JW5W+4CX, Pardamean Sibisa, Kec. Ajibata, Toba, Sumatera Utara 22386

Jam Operasional : 07.00 - 18.00

Harga Tiket : 5.000 - 40.000

Status : beroperasi
"
wisata,Bukit Holbung,"
Nama Tempat : Bukit Holbung

Kategori : Wisata Alam

Rating : 4.7

Alamat : Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara GMJX+45

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 15.000

Status : beroperasi
"
wisata,Batu lihi star,"
Nama Tempat : Batu lihi star

Kategori : Wisata Alam

Rating : 4.3

Alamat : QRHC+G25, Jl. Pematang Pua - Parapat, Pematang Tambun Raya, Kec. Pematang Sidamanik, Kabupaten Simalungun, Sumatera Utara 21186

Jam Operasional : 10.00 - 19.15

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Batu Maroppa,"
Nama Tempat : Batu Maroppa

Kategori : Wisata Alam

Rating : 4.5

Alamat : FPJ8+C6P, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Togaraja,"
Nama Tempat : Togaraja

Kategori : Wisata Alam

Rating : 4.7

Alamat : GMJ3+24, Partungko Naginjang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22391

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 15.000

Status : beroperasi
"
wisata,Pantai Pulo Tao,"
Nama Tempat : Pantai Pulo Tao

Kategori : Wisata Alam

Rating : 4.5

Alamat : Sitalolo No.Desa, Cinta Dame, Simanindo, Samosir Regency, North Sumatra 22395 QP4M+PR

Jam Operasional : 09.00 - 17.30

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Desa Wisata Sigapiton,"
Nama Tempat : Desa Wisata Sigapiton

Kategori : Wisata Alam

Rating : 4.6

Alamat : JW2H+4QP, Unnamed Road, Motung, Ajibata, Toba, North Sumatra 22386

Jam Operasional : 07.00 - 18.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Menara Pandang Simanindo,"
Nama Tempat : Menara Pandang Simanindo

Kategori : Wisata Alam

Rating : 4.5

Alamat : PQX2+656, Simanindo Sangkal, Simanindo, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 7.000

Status : beroperasi
"
wisata,Bukit Burung,"
Nama Tempat : Bukit Burung

Kategori : Wisata Alam

Rating : 4.8

Alamat : JMJ3+MXF, Siboro, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Air Terjun Tombak Pangaribuan,"
Nama Tempat : Air Terjun Tombak Pangaribuan

Kategori : Wisata Alam

Rating : 4

Alamat : GRJ8+JPW, Palipi, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Pantai Silalahi,"
Nama Tempat : Pantai Silalahi

Kategori : Wisata Alam

Rating : 4.4

Alamat : QGVH+V4Q, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara

Jam Operasional : 08.00 - 20.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Aek Rangat Pangururan,"
Nama Tempat : Aek Rangat Pangururan

Kategori : Wisata Alam

Rating : 4.3

Alamat : JM9G+F6 Aek Rangat, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392

Jam Operasional : 24 jam

Harga Tiket : 10.000 - 15.000

Status : beroperasi
"
wisata,PENATAPAN PARHALLOW SIGARANTUNG,"
Nama Tempat : PENATAPAN PARHALLOW SIGARANTUNG

Kategori : Wisata Alam

Rating : 4.6

Alamat : JV8C+WWW, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395

Jam Operasional : 08.00 - 23.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Batu Gantung,"
Nama Tempat : Batu Gantung

Kategori : Wisata Alam

Rating : 4.5

Alamat : MWQF+9P3 Lake Toba, Kabupaten Simalungun, Sumatera Utara 21174

Jam Operasional : 09.30 - 17.30

Harga Tiket : 15.000 - 20.000

Status : beroperasi
"
wisata,Gunung Pusuk Buhit,"
Nama Tempat : Gunung Pusuk Buhit

Kategori : Wisata Alam

Rating : 4.7

Alamat : JM22+6J8, Ginolat, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Bukit Sipolha,"
Nama Tempat : Bukit Sipolha

Kategori : Wisata Alam

Rating : 4.6

Alamat : PVM5+XP3 Bukit Sipolha, Sipolha Horison, Pematang Sidamanik, Simalungun Regency, North Sumatra 21186

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Air Terjun Janji,"
Nama Tempat : Air Terjun Janji

Kategori : Wisata Alam

Rating : 4.6

Alamat : 8RQ8+Q8 Tipang, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457

Jam Operasional : 24 jam

Harga Tiket : Sukarela

Status : beroperasi
"
wisata,Gua Liang Sipege,"
Nama Tempat : Gua Liang Sipege

Kategori : Wisata Budaya / Sejarah

Rating : 4,8

Alamat : 8452+FP3, Hutagaol Peatalun, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Monumen Raja SONAKMALELA,"
Nama Tempat : Monumen Raja SONAKMALELA

Kategori : Wisata Budaya / Sejarah

Rating : 4,4

Alamat : 83M8+MMM, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Makam Sisingamangaraja XII,"
Nama Tempat : Makam Sisingamangaraja XII

Kategori : Wisata Budaya / Sejarah

Rating : 4,5

Alamat : 82JX+8Q3, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Desa Adat Ragi Hotang,"
Nama Tempat : Desa Adat Ragi Hotang

Kategori : Wisata Budaya / Sejarah

Rating : 4,5

Alamat : 8293+6WP, Meat, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Monumen Perang Dunia II,"
Nama Tempat : Monumen Perang Dunia II

Kategori : Wisata Budaya / Sejarah

Rating : 4.2

Alamat : C5V4+8FW, Jl. Porsea, Ps. Porsea, Kec. Porsea, Toba, Sumatera Utara 22384

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Monumen D.I. Panjaitan,"
Nama Tempat : Monumen D.I. Panjaitan

Kategori : Wisata Budaya / Sejarah

Rating : 4.8

Alamat : 83M7+RJ4, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : tutup
"
wisata,Mual Sipangolu (Mual Sisingamangaraja),"
Nama Tempat : Mual Sipangolu (Mual Sisingamangaraja)

Kategori : Wisata Budaya / Sejarah

Rating : 4.9

Alamat : 8RFW+HF7, Jl. Muara Aek Sipangolu, Simangulampe, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Mual Sirambe,"
Nama Tempat : Mual Sirambe

Kategori : Wisata Budaya / Sejarah

Rating : 4.6

Alamat : 84WF+FRV, Sitangkola, Kec. Laguboti, Toba, Sumatera Utara 22381

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Desa Wisata Tomok Parsaoran,"
Nama Tempat : Desa Wisata Tomok Parsaoran

Kategori : Wisata Budaya / Sejarah

Rating : 4.3

Alamat : Jl. Makam Sidabutar Jalan, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MV26+PC

Jam Operasional : 24 jam

Harga Tiket : 10.000 - 30.000

Status : beroperasi
"
wisata,Kampung Ulos Hutaraja,"
Nama Tempat : Kampung Ulos Hutaraja

Kategori : Wisata Budaya / Sejarah

Rating : 4.6

Alamat : Kampung ulos, Huta Bolon, Kec. Pangururan, Kabupaten Samosir, Sulawesi Utara 22392 MM7Q+HJ

Jam Operasional : 08.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Patung Sigalegale,"
Nama Tempat : Patung Sigalegale

Kategori : Wisata Budaya / Sejarah

Rating : 4.6

Alamat : MV26+P8P, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395

Jam Operasional : 08.00 - 19.00

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Istana Raja Sisingamangaraja,"
Nama Tempat : Istana Raja Sisingamangaraja

Kategori : Wisata Budaya / Sejarah

Rating : 4.6

Alamat : 8R47+82P, Simamora, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),"
Nama Tempat : Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan )

Kategori : Wisata Budaya / Sejarah

Rating : 4.5

Alamat : Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MRHP+JC

Jam Operasional : 08.00 - 18.00

Harga Tiket : 10.000 - 25.000

Status : beroperasi
"
wisata,Sopo Guru Tatea Bulan | ᯘᯬᯇᯬ ᯎᯮᯒᯮ ᯖᯖᯩᯀ ᯅᯮᯞᯉ᯲,"
Nama Tempat : Sopo Guru Tatea Bulan | ᯘᯬᯇᯬ ᯎᯮᯒᯮ ᯖᯖᯩᯀ ᯅᯮᯞᯉ᯲

Kategori : Wisata Budaya / Sejarah

Rating : 4.7

Alamat : HJRJ+Q7R, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Rumah Pesanggrahan Bung Karno,"
Nama Tempat : Rumah Pesanggrahan Bung Karno

Kategori : Wisata Budaya / Sejarah

Rating : 4.6

Alamat : Pantai mercusuar, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174 MW8G+5H

Jam Operasional : 09.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Museum Huta Bolon Simanindo,"
Nama Tempat : Museum Huta Bolon Simanindo

Kategori : Wisata Budaya / Sejarah

Rating : 4.2

Alamat : QP2V+VJX, Jalan Pelabuhan, Simanindo Sangkal, Simanindo, Samosir Regency, North Sumatra 22395

Jam Operasional : 08.00 - 17.00

Harga Tiket : 10.000 - 20.000

Status : beroperasi
"
wisata,Tugu Toga Aritonang,"
Nama Tempat : Tugu Toga Aritonang

Kategori : Wisata Budaya / Sejarah

Rating : 4.5

Alamat : 8WQR+RQ Desa, Dolok Martumbur, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Pemandian Aek Sipitu Dai,"
Nama Tempat : Pemandian Aek Sipitu Dai

Kategori : Wisata Budaya / Sejarah

Rating : 4.3

Alamat : HJHX+F2X, Aek Sipitudai, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396

Jam Operasional : 06.00 - 23.00

Harga Tiket : 10000

Status : beroperasi
"
wisata,Labersa Toba Fantasi Waterpark,"
Nama Tempat : Labersa Toba Fantasi Waterpark

Kategori : Wisata Buatan

Rating : 3,7

Alamat : Jl. Saribu Raja, Saribu Raja Janji Maria, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 09.00 - 18.00

Harga Tiket : 40.000 - 50.000

Status : beroperasi
"
wisata,TB Silalahi Swimming Pool,"
Nama Tempat : TB Silalahi Swimming Pool

Kategori : Wisata Buatan

Rating : 4,0

Alamat : 82MW+RWJ, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 09.00 - 18.00

Harga Tiket : 15.000 - 20.000

Status : beroperasi
"
wisata,Taman Eden 100,"
Nama Tempat : Taman Eden 100

Kategori : Wisata Rohani

Rating : 4,5

Alamat : Ps. Lumban Julu, Kec. Lumban Julu, Toba, Sumatera Utara 22386

Jam Operasional : 08.00 - 18.00

Harga Tiket : 7.500 - 15.000

Status : beroperasi
"
wisata,Bukit Doa,"
Nama Tempat : Bukit Doa

Kategori : Wisata Rohani

Rating : 4,5

Alamat : 8X7J+W4F, Huta Ginjang, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Makam DR. I.L. Nommensen,"
Nama Tempat : Makam DR. I.L. Nommensen

Kategori : Wisata Rohani

Rating : 4.5

Alamat : 95W4+39V, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Gereja Tua HKBP SIgumpar,"
Nama Tempat : Gereja Tua HKBP SIgumpar

Kategori : Wisata Rohani

Rating : 4.7

Alamat : Jln.Pdt.DR.IL.NOMMENSEN no.1 Sigumpar, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384 95V4+WX

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Gereja Tua HKBP Balige,"
Nama Tempat : Gereja Tua HKBP Balige

Kategori : Wisata Rohani

Rating : 4.7

Alamat : 83J8+8XW, Jl. Gereja, Balige III, Kec. Balige, Toba, Sumatera Utara 22314

Jam Operasional : 10.00 - 16.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Taman Wisata Iman Dairi,"
Nama Tempat : Taman Wisata Iman Dairi

Kategori : Wisata Rohani

Rating : 4.3

Alamat : Jalan Sidikalang - Medan No.5, Sitinjo, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara 22281 P9JM+Q5

Jam Operasional : 08.00 - 19.00

Harga Tiket : 5.000 - 20.000

Status : beroperasi
"
wisata,Salib Kasih Tarutung,"
Nama Tempat : Salib Kasih Tarutung

Kategori : Wisata Rohani

Rating : 4.6

Alamat : 2292+3HV, Dolok Siatas Barita, Sosunggulon, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22416

Jam Operasional : 08.00 - 18.00

Harga Tiket : 5.000 - 20.000

Status : beroperasi
"
